0,1103276,778677
1,753113,280498
2,279597,148631
3,243933,143184
4,289155,181217
5,497389,188008
6,343751,197180
7,350422,136166
8,226931,141472
9,385553,168593
10,236609,131739
11,237648,132916
12,251847,136518
13,243182,139535
14,707313,285107
15,315499,211335
16,229062,299878
17,374545,167407
18,252806,136998
19,242162,130254
20,344376,151133
21,226113,135103
22,331639,179328
23,386120,162491
24,277378,159345
25,302040,190146
26,225196,128581
27,561940,254283
28,278635,133144
29,434237,151207
30,673037,255492
31,291563,147394
32,321771,134388
33,286815,153668
34,227262,133230
35,257261,132665
36,303348,134203
37,306930,139869
38,310158,137907
39,349311,162280
40,235355,136617
41,426447,211984
42,307218,143296
43,267934,150475
44,746817,257467
45,625460,236351
46,281771,148014
47,227120,154575
48,235319,136189
49,439666,165658
50,399370,164595
51,251538,143830
52,401085,157518
53,238044,132297
54,221940,126988
55,298965,138172
56,227085,132868
57,239514,130542
58,225777,159064
59,278002,135343
60,376085,164361
61,499765,171905
62,262580,272763
63,255097,139917
64,229972,138175
65,243324,130459
66,259551,129583
67,519668,162267
68,298549,148133
69,304546,151446
70,368100,169813
71,333643,151569
72,381274,177802
73,231051,138907
74,261076,148584
75,343154,141140
76,305162,146681
77,275015,145146
78,287029,137993
79,597005,246041
80,261788,141978
81,382462,156047
82,307872,163777
83,291188,136117
84,280852,155624
85,316224,152759
86,394262,156057
87,442334,150631
88,249653,189337
89,751510,322952
90,286296,136582
91,231405,135196
92,226263,132330
93,254126,149267
94,262667,146967
95,372263,153102
96,272186,147332
97,414448,226476
98,311272,145248
99,292388,139916
100,322108,159569
101,222487,130014
102,459248,224743
103,283380,138060
104,241802,138811
105,305518,160824
106,1214514,308656
107,294645,146821
108,256063,144507
109,319387,149149
110,359356,135561
111,276280,136310
112,283979,137978
113,370098,224748
114,238358,160686
115,278890,153637
116,333546,148214
117,362150,166266
118,463286,160335
119,942262,284835
120,258865,136843
121,278639,130084
122,325746,165153
123,479139,198491
124,350040,174629
125,707782,336526
126,300714,146477
127,361431,149650
128,256883,146846
129,276804,148304
130,333016,154829
131,270020,132539
132,240819,140954
133,251050,140406
134,489916,195444
135,250220,154857
136,296907,148286
137,292481,145872
138,368766,143339
139,251983,141106
140,1051259,316185
141,269354,137606
142,411859,137672
143,328261,207980
144,287035,168730
145,256013,140442
146,388772,167265
147,261826,140727
148,243521,145186
149,280967,136515
150,869702,244947
151,280637,341953
152,423010,165362
153,363320,155873
154,219322,133477
155,255105,148061
156,229471,142142
157,422732,180171
158,288794,135855
159,357614,164133
160,339788,168914
161,253494,145296
162,322314,151753
163,255579,141211
164,236620,144338
165,459302,212351
166,290212,137913
167,503620,176470
168,617063,272967
169,437019,145964
170,300649,171857
171,304455,154864
172,658658,278849
173,331753,157932
174,290488,162883
175,252596,137706
176,297073,137876
177,370164,175057
178,279683,170909
179,248429,146139
180,817021,258711
181,356872,151336
182,337590,147201
183,289695,136030
184,329212,158795
185,447859,230257
186,509750,248123
187,270071,143771
188,254038,137450
189,270775,142310
190,394226,194128
191,506609,218382
192,363840,167162
193,376507,160047
194,293400,147961
195,346022,153775
196,253022,140541
197,296692,144507
198,236310,139790
199,263462,167671
200,291396,153979
201,329677,206269
202,258109,132470
203,274024,137860
204,392434,170449
205,247738,141995
206,714991,331940
207,266827,156826
208,337647,168083
209,412685,180408
210,578621,179232
211,268219,145903
212,254846,132978
213,249671,162704
214,342533,150016
215,333559,161875
216,245136,152222
217,234191,157120
218,342571,156328
219,246649,133097
220,311571,141521
221,251748,145630
222,619226,214316
223,353029,155247
224,237331,155201
225,345814,162708
226,352982,146040
227,378347,141140
228,383398,178093
229,307321,142762
230,287342,156342
231,272256,142492
232,297134,151793
233,396480,164256
234,253692,136004
235,629495,224296
236,674018,228347
237,381618,159503
238,313759,189634
239,377908,182484
240,278687,162746
241,493144,201113
242,637957,180542
243,383632,156065
244,276745,162151
245,252847,134984
246,254590,147559
247,276610,139542
248,302647,194704
249,346482,156516
250,301534,139857
251,555305,158864
252,637748,203052
253,274773,140906
254,420391,224034
255,275903,149855
256,456687,182647
257,551155,204842
258,285623,152209
259,881184,302379
260,286027,146382
261,286270,149490
262,254181,147624
263,400814,157216
264,671539,265317
265,471221,176756
266,333753,152274
267,588307,255944
268,439145,214795
269,389858,162804
270,363046,172366
271,327018,131084
272,242725,129676
273,342264,147520
274,277702,138876
275,259929,145353
276,234389,141913
277,691348,280515
278,334788,146898
279,277185,143187
280,368317,201751
281,307098,133271
282,370975,142999
283,361210,163399
284,338377,143732
285,367195,186718
286,275420,137269
287,446062,176912
288,316056,155298
289,252182,165287
290,266689,134370
291,261634,142762
292,407184,172261
293,269999,142164
294,344096,143829
295,261501,151803
296,361153,216103
297,260603,139355
298,649542,338993
299,455608,220056
300,334641,158190
301,284070,151034
302,637036,191911
303,299261,153861
304,265695,133861
305,348049,144097
306,271860,135867
307,895217,338683
308,287209,153495
309,425539,172796
310,371553,166018
311,309974,166829
312,394042,215383
313,330459,177786
314,478124,198750
315,1008320,346321
316,309403,144689
317,401596,168449
318,281528,141585
319,240289,146868
320,282062,150412
321,468418,224784
322,396729,183101
323,355805,169755
324,357298,154922
325,305832,144692
326,612893,206217
327,622756,250578
328,971149,334149
329,302143,177166
330,468087,207960
331,379938,167258
332,278982,151420
333,386581,159272
334,256522,160628
335,330054,148093
336,306910,160145
337,237926,146181
338,501076,186826
339,578784,180790
340,475837,287021
341,295408,142629
342,267001,155299
343,307969,223715
344,281693,141082
345,264812,161101
346,327909,152063
347,274972,144295
348,441777,189006
349,241643,135836
350,337075,145334
351,272021,145316
352,255821,159004
353,336458,145507
354,226813,133935
355,328249,167822
356,323803,148257
357,355374,159137
358,296636,143117
359,244775,130709
360,448910,163674
361,305489,131715
